id,count_point_id,year,region_id,local_authority_id,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
21427,6879,2022,6,175,A305,PA,Major,A305 Paradise Rd,A205,518360,175000,51.46160813,-0.29763094,1.7,1.1,Estimated,Estimated using AADF from previous year on this link,814,302,6928,472,1793,109,20,2,2,1,0,135,9629
21453,6880,2022,6,175,A305,PA,Major,A310,A3004,516600,173580,51.44921043,-0.32342170,0.9,0.6,Estimated,Estimated using AADF from previous year on this link,1045,376,10610,792,2055,99,19,11,3,0,0,132,13964
21479,6882,2022,6,175,A305,PA,Major,A305,A305,517800,174820,51.46010703,-0.30574809,0.3,0.2,Estimated,Estimated using AADF from previous year on this link,930,566,4139,1499,760,110,17,6,13,1,1,150,7114
21505,6884,2022,6,146,A308,PA,Major,A219,A217,525000,176360,51.47240558,-0.20161866,1.5,0.9,Estimated,Estimated using AADF from previous year on this link,1835,1208,9826,308,2224,335,25,14,5,0,3,383,13949
21531,6886,2022,6,175,A308,PA,Major,A3008,A311,514000,169480,51.41288941,-0.36213977,0.2,0.1,Counted,Manual count,610,358,16344,302,2914,441,28,34,10,9,21,543,20461
21583,6890,2022,6,111,A310,PA,Major,A3004,A315,516200,176000,51.47104307,-0.32838117,1.2,0.7,Estimated,Estimated using AADF from previous year on this link,710,593,15577,600,3225,400,109,43,5,8,32,597,20592
21609,6891,2022,6,175,A310,PA,Major,A313,A309,516200,172000,51.43509212,-0.32969414,1.4,0.9,Estimated,Estimated using AADF from previous year on this link,1003,267,8902,177,1866,81,31,27,8,2,4,154,11366
21635,6892,2022,6,175,A311,PA,Major,A312,A313,514380,171000,51.42647456,-0.35618796,0.9,0.6,Estimated,Estimated using AADF from previous year on this link,722,365,10632,531,1455,158,22,5,1,4,0,190,13173
21661,6893,2022,6,147,A312,PA,Major,A40(T),A4090,513786,185000,51.55242430,-0.36021975,2.1,1.3,Estimated,Estimated using AADF from previous year on this link,75,220,11852,273,2486,228,64,81,14,71,49,506,15337
21687,6895,2022,6,111,A312,PA,Major,LA Boundary,A316,512910,172000,51.43575710,-0.37700407,0.3,0.2,Estimated,Estimated using AADF from previous year on this link,185,398,19844,258,3256,232,37,27,14,2,3,316,24072
21713,6896,2022,6,109,A315,PA,Major,LA Boundary,A4/A3216,527000,179700,51.50197747,-0.17163756,1.7,1.1,Counted,Automatic counter,504,1061,7024,903,1656,457,53,28,5,3,18,564,11209
21739,6897,2022,6,146,A315,PA,Major,A402 Goldhawk Rd,A315 Studland St,522000,178630,51.49346110,-0.24400806,0.8,0.5,Estimated,Estimated using AADF from previous year on this link,1581,642,7091,669,1484,92,19,9,5,2,1,128,10014
21765,6898,2022,6,111,A205,PA,Major,A315,A3000,519100,178160,51.48985441,-0.28592020,0.2,0.1,Estimated,Estimated using AADF from previous year on this link,1050,763,17772,583,4423,599,69,72,26,59,58,883,24424
21791,6899,2022,6,111,A315,PA,Major,A314,B363,515000,176230,51.47335519,-0.34557595,1.1,0.7,Estimated,Estimated using AADF from previous year on this link,470,352,9406,893,1771,120,32,22,0,6,1,181,12602
21835,6902,2022,6,175,A316,PA,Major,A3003,LA Boundary,520000,176050,51.47070027,-0.27367909,0.6,0.4,Counted,Manual count,663,1003,24139,235,4270,519,22,26,6,10,29,613,30259
